标准音：C4 = 220*2^(1/4) Hz ≈ 261.63 Hz

时刻	格子图（低音）	格子图（和弦）	和弦图（低音）	和弦图（和弦）	注释
163200	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
163560	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 11/3, 9)
163920	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/9	(1, 3, 11/3, 9)
164520	(-3, 0, 0, 0)	{(-3, 0, 0, 0), (-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0)}	1/27	(1, 3, 9, 11)
165000	(-5, 0, 0, 1)	{(-6, 0, 0, 2), (-5, 0, 0, 1), (-4, 0, 0, 1), (-3, 0, 0, 1)}	11/243	(1, 3, 11/3, 9)
165480	(-4, 0, 0, 1)	{(-5, 0, 0, 1), (-4, 0, 0, 1), (-3, 0, 0, 1)}	11/81	(1/3, 1, 3)
165840	(-3, 0, 0, 0)	{(-3, 0, 0, 0), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/27	(1, 3, 9, 27)
166680	(-3, 0, 0, 0)	{(-3, 0, 0, 0), (-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/27	(1, 3, 9, 11, 27)
167040	(-4, 0, 0, 0)	{(-5, 0, 0, 1), (-4, 0, 0, 0), (-3, 0, 0, 0), (-2, 0, 0, 0)}	1/81	(1, 3, 11/3, 9)
167400	(-2, 0, 0, 0)	{(-4, 0, 0, 1), (-3, 0, 0, 0), (-2, 0, 0, 0), (-1, 0, 0, 0)}	1/9	(1/3, 1, 11/9, 3)
167760	(-1, 0, 0, -1)	{(-2, 0, 0, 0), (-1, 0, 0, -1), (-1, 0, 0, 0), (0, 0, 0, -1), (1, 0, 0, -1)}	1/33	(1, 3, 11/3, 9, 11)
168840	(-4, 0, 0, 0)	{(-6, 0, 0, 1), (-5, 0, 0, 1), (-4, 0, 0, 0), (-2, 0, 0, 0)}	1/81	(1, 11/9, 11/3, 9)
169320	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0)}	1/9	(1, 3, 11/3)
169800	(-2, 0, 0, -1)	{(-2, 0, 0, -1), (-1, 0, 0, 0), (0, 0, 0, -1), (1, 0, 0, -1), (2, 0, 0, -1)}	1/99	(1, 9, 27, 33, 81)
170760	(0, 0, 0, -1)	{(-2, 0, 0, 0), (-1, 0, 0, -1), (0, 0, 0, -1), (1, 0, 0, -1)}	1/11	(1/3, 1, 11/9, 3)
171480	(-3, 0, 1, -1)	{(-3, 0, 0, 0), (-3, 0, 1, -1), (-2, 0, 0, -1), (-1, 0, 0, -1), (0, 0, 0, -1)}	7/297	(3/7, 1, 9/7, 11/7, 27/7)
171720	(-4, 0, 0, 0)	{(-4, 0, 0, 0), (-3, 0, 0, -1), (-2, 0, 0, -1), (-1, 0, 0, -1)}	1/81	(3/11, 9/11, 1, 27/11)
172800	(0, 0, 0, 0)	{(-1, 0, 0, -1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}			↓[音差泵] Cvafumikama (pentacircle comma) 896/891
172800	(0, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0), (3, 0, -1, 0)}	1	(1, 3, 27/7, 9)
174720	(-1, 0, 1, 0)	{(-1, 0, 1, 0), (0, 0, 1, 0), (1, 0, 1, 0), (2, 0, 0, 0), (2, 0, 1, 0), (3, 0, 0, 0)}	7/3	(1, 3, 27/7, 9, 81/7, 27)
176640	(-2, 0, 2, 0)	{(-2, 0, 2, 0), (-1, 0, 2, 0), (0, 0, 2, 0), (1, 0, 1, 0)}	49/9	(1, 3, 27/7, 9)
177480	(-3, 0, 3, 0)	{(-3, 0, 3, 0), (-2, 0, 3, 0), (-1, 0, 3, 0), (0, 0, 2, 0)}	343/27	(1, 3, 27/7, 9)
178560	(-1, 0, 3, 0)	{(-1, 0, 3, 0), (0, 0, 3, 0), (1, 0, 3, 0), (2, 0, 2, 0)}	343/3	(1, 3, 27/7, 9)
179280	(1, 0, 3, 0)	{(1, 0, 3, 0), (2, 0, 3, 0), (3, 0, 3, 0), (4, 0, 2, 0)}	1029	(1, 3, 27/7, 9)
179280	(0, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0), (3, 0, -1, 0)}			↑[音差泵] Chytramiama (slendric comma) 1029/1024
